AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,"HH_TOT,",mat_hom_1,mat_muj_1,mat_ens_1,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_total
2018,26172,6,ESCUELA BAS. FALCON COLLEGE LITTLE,13,131,13126,QUINTA NORMAL,134,SANTIAGO PONIENTE,3,2,0,1,20,546,0,0,0,0,1,44,0,0,0,0,1,42,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,676,27,33,60,191,154,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,187,405
2018,26173,4,ESCUELA BASICA ALTAIR DE BATUCO,13,133,13302,LAMPA,137,SANTIAGO NORTE,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26174,2,ESCUELA DE PARV. SANTA TERESITA DE JESUS,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,1,44,0,0,0,0,1,44,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,9,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
2018,26175,0,ESCUELA ESPECIAL NUESTRA SEÂ¥ORA DE MONSERRAT,13,131,13131,SAN RAMON,132,SANTIAGO SUR,3,2,0,3,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26176,9,ESC. DE PARV. MADRE BERNARDA MORIN DE PROVIDE,13,131,13123,PROVIDENCIA,133,SANTIAGO ORIENTE,1,1,0,1,3,132,0,0,0,0,1,44,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,236,34,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,60
2018,26177,7,ESCUELA DE AD. PESTALOZZI DE SAN BERNARDO,13,134,13401,SAN BERNARDO,132,SANTIAGO SUR,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26178,5,ESCUELA DE PARV. MARIA MONTESORI DE PUENTE AL,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26179,3,ESCUELA DE PARVULOS SNOOPY DE LA FLORIDA,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26180,7,ESCUELA DE PARV. LA CASITA ENCANTADA,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,2,76,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120,38,44,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,44,82
2018,26181,5,ESCUELA DE PARV. ACUARELA DE LA FLORIDA,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,1,30,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
