AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT,
2018;10720;4;COLEGIO SAGRADO CORAZON;13;136;13601;TALAGANTE;135;TALAGANTE;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10721;2;ENGLISH COLLEGE;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;56;1915;1;44;0;0;1;44;2;44;0;0;0;0;1;44;0;0;1;44;0;0;0;0;0;0;0;0;1;33;63;2168
2018;10722;0;COLEGIO TORREON;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;14;485;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;16;573
2018;10723;9;COLEGIO PARTICULAR INTEGRAL ARTURO PRAT;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;22;580;0;0;0;0;1;44;2;65;0;0;1;44;2;88;1;32;0;0;0;0;0;0;0;0;0;0;0;0;29;853
2018;10724;7;COLEGIO CARAMPANGUE;13;136;13601;TALAGANTE;135;TALAGANTE;4;3;0;1;71;2302;5;192;3;86;1;44;6;172;0;0;0;0;3;110;0;0;0;0;1;40;0;0;0;0;0;0;0;0;90;2946
2018;10725;5;CENTRO EDUCACIONAL ISLA DE MAIPO;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;0;1;44;1596;0;0;1;44;1;44;1;42;0;0;2;88;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;51;1902
2018;10726;3;CENTRO DE EDUCACION MARIO BERTERO CEVASCO;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;0;1;68;2703;0;0;0;0;1;44;3;120;0;0;2;88;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;77;3087
2018;10727;1;LICEO REPUBLICA DE ITALIA;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;0;1;54;2035;2;74;0;0;1;44;2;82;0;0;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;61;2323
2018;10729;8;ESCUELA BASICA EFRAIN MALDONADO TORRES;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;0;1;35;1445;0;0;0;0;1;44;1;44;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1621
2018;10730;1;ESC.BASICA SAN ANTONIO DE NALTAGUA;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;1;1;16;625;0;0;1;44;1;44;0;0;0;0;1;44;0;0;1;40;0;0;0;0;0;0;0;0;0;0;0;0;20;797
