agno,rbd,dgv_rbd,nom_rbd,cod_depe,cod_depe2,rural_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,estado_estab,mat_si_1,mat_hom_1,mat_muj_1,mat_ens_1,mat_si_2,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_si_tot,mat_total,cur_sim_01,cur_sim_02,cur_sim_03,cur_sim_04,cur_sim_05,cur_sim_06,cur_sim_07,cur_sim_08,cur_sim_tot,cur_comb_01,cur_comb_02,cur_comb_tot
2018,17640,0,ESCUELA BASICA EL PILME,2,1,1,8,84,8414,QUIRIHUE,81,ÑUBLE,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1
2018,17641,9,ESCUELA BASICA CANA DULCE,2,1,1,8,84,8420,TREGUACO,81,ÑUBLE,1,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,1,1
2018,17642,7,JARDIN INFANTIL FABIOLA,3,2,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,25,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,55,2,0,0,0,0,0,0,0,2,0,0,0
2018,17643,5,LICEO AGRICOLA DE NEGRETE,3,2,1,8,83,8307,NEGRETE,82,BIOBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,86,0,0,0,57,29,0,86,0,0,0,0,0,0,4,0,4,0,0,0
2018,17644,3,PARVULARIO COLEGIO ADVENTISTA DE COMCEP.,3,2,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,38,37,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,75,2,0,0,0,0,0,0,0,2,0,0,0
2018,17647,8,TALLER DE CAPACITACIÓN LABORAL UNPADE,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,1,0,0,0,0,0,0,0,0,0,0,0,40,31,71,0,0,0,0,0,0,0,0,0,0,0,0,40,31,0,71,0,0,0,5,0,0,0,0,5,0,0,0
2018,17648,6,COLEGIO PARTICULAR KENNEDY SCHOOL,3,2,0,8,81,8103,CHIGUAYANTE,83,CONCEPCION,1,0,34,21,55,0,256,214,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,235,0,525,2,16,0,0,0,0,0,0,18,0,0,0
2018,17649,4,ESCUELA PART.SUBVENCIONADA EL HUALLE,3,2,1,8,84,8402,BULNES,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17650,8,CENTRO DE CAPACITACIÓN URCAE,3,2,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,0,0,0,0,0,0,0,0,0,0,18,20,38,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,38,0,0,0,6,0,0,0,0,6,0,0,0
2018,17651,6,COLEGIO FUNDACION MINISTERIO SAMARITANO,3,2,1,8,82,8203,CAÑETE,84,ARAUCO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17652,4,COLEGIO RAIQUEN,3,2,0,8,83,8313,YUMBEL,82,BIOBIO,1,0,48,42,90,0,163,194,357,0,0,0,0,0,0,49,81,130,0,0,0,0,0,0,0,0,0,260,317,0,577,2,8,0,0,3,0,0,0,13,0,0,0
2018,17653,2,JARDIN INFANTIL SEMILLA,4,3,0,8,84,8401,CHILLAN,81,ÑUBLE,1,0,29,30,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,59,4,0,0,0,0,0,0,0,4,0,0,0
2018,17654,0,CENTRO EDUCACIÓN INTEGRADA DE ADULTOS,2,1,0,8,81,8102,CORONEL,83,CONCEPCION,1,0,0,0,0,0,0,0,0,49,26,75,0,0,0,0,0,0,233,253,486,0,0,0,0,0,0,282,279,0,561,0,0,3,0,0,13,0,0,16,0,0,0
2018,17655,9,ESCUELA MUNICIPAL CARRIZAL - MENIR,2,1,1,8,83,8306,NACIMIENTO,82,BIOBIO,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,0,0,0,0,0,3,0,0,0
2018,17656,7,ESCUELA SACERDOTE ALEJANDRO MANERA,2,1,0,8,83,8305,MULCHEN,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17657,5,INSTITUTO DE HUMANIDADES ANTONIO MORENO CASAMITJANA,3,2,0,8,81,8102,CORONEL,83,CONCEPCION,1,0,78,74,152,0,327,386,713,0,0,0,0,0,0,156,199,355,0,0,0,0,0,0,0,0,0,561,659,0,1220,4,16,0,0,8,0,0,0,28,0,0,0
2018,17658,3,COLEGIO EINSTEIN,4,3,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,43,30,12,42,0,0,0,0,0,0,54,31,0,85,0,0,0,0,4,3,0,0,7,0,0,0
2018,17659,1,LICEO TECNICO PESQUERO SANTA CAROLINA,3,2,0,8,82,8202,ARAUCO,84,ARAUCO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17660,5,SCUOLA ITALIANA DI CONCEPCION,3,2,0,8,81,8102,CORONEL,83,CONCEPCION,1,0,22,38,60,0,112,126,238,0,0,0,0,0,0,47,49,96,0,0,0,0,0,0,0,0,0,181,213,0,394,2,8,0,0,4,0,0,0,14,0,0,0
2018,17661,3,INTERNADO LICEO A 18 VICENTE PALACIOS,2,1,0,8,81,8111,TOME,83,CONCEPCION,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17662,1,LICEO CLAUDIO ARRAU LEON,2,1,0,8,84,8405,COIHUECO,81,ÑUBLE,1,0,0,0,0,0,0,0,0,0,0,0,8,4,12,217,264,481,0,0,0,56,44,100,0,0,0,281,312,0,593,0,0,0,1,14,0,4,0,19,0,0,0
2018,17664,8,INTERNADO ESC E 996 VILLA MERCEDES,2,1,0,8,83,8309,QUILLECO,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17665,6,COLEGIO BEATO ALBERTO HURTADO,4,3,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17666,4,INTERNADO LICEO SAN ROSENDO,2,1,0,8,83,8310,SAN ROSENDO,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17667,2,ESCUELA VILLA ACERO,2,1,0,8,81,8110,TALCAHUANO,83,CONCEPCION,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17668,0,COLEG.PARROQ.SAN JOSE DE CABRERO ANEXO,3,2,0,8,83,8303,CABRERO,82,BIOBIO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17669,9,ANEXO N. 1 SAN JOSE,3,2,0,8,83,8303,CABRERO,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17670,2,ANEXO N. 1 LICEO LA ASUNCION,3,2,0,8,81,8110,TALCAHUANO,83,CONCEPCION,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17671,0,LICEO LA ASUNCION ANEXO 2,3,2,0,8,81,8110,TALCAHUANO,83,CONCEPCION,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17672,9,LICEO MIGUEL ANGELE CERDA LEIVA,2,1,0,8,83,8305,MULCHEN,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17673,7,INTERNADO LICEO C 69 MIGUEL ANGEL CERDA,2,1,0,8,83,8305,MULCHEN,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17674,5,ANEXO LICEO SANTA RITA DE LOS ANGELES,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17675,3,INTERNADO LICEO CARDENAL ANTONIO SAMORE,2,1,0,8,83,8311,SANTA BARBARA,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17678,8,JARDIN INFANTIL AMIGO DE JESUS,4,3,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17679,6,ANEXO COME WEALTH SCHOOL,3,2,0,8,84,8401,CHILLAN,81,ÑUBLE,1,0,11,12,23,0,117,99,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,111,0,239,2,8,0,0,0,0,0,0,10,0,0,0
2018,17681,8,INTERNADO ESC F 60,2,1,0,8,84,8420,TREGUACO,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17682,6,INTERNADO FEMENINO C 15,2,1,0,8,84,8418,SAN IGNACIO,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17683,4,INTERNADO MASCULINO C 15,2,1,0,8,84,8418,SAN IGNACIO,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17684,2,INTERNADO FEMENINO CARLOS CONDELL,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17685,0,INTERNADO MASCULINO CARLOS CONDELL,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17686,9,COLEGIO ADVENTISTA CONCEPCIÓN,3,2,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,0,0,0,0,165,172,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,172,0,337,0,8,0,0,0,0,0,0,8,0,0,0
2018,17687,7,COLEGIO TERESIANO LOS ANGELES,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,1,0,70,82,152,0,285,383,668,0,0,0,0,0,0,136,173,309,0,0,0,0,0,0,0,0,0,491,638,0,1129,4,16,0,0,8,0,0,0,28,0,0,0
2018,17688,5,JARDIN INFANTIL COLORIN COLORADO,3,2,0,8,83,8311,SANTA BARBARA,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
